# Command: ../build/unigen_static -e 0.3 -r 1.6 --samples {} benchmarks/dummy.cnf
# Repetitions: 20
# Parallel Workers: 8
Value,Runs,Mean,Median,Min,Max
50,20,0.106181921300049,0.1113381830000435,0.08247925999967265,0.12455770400083566
100,20,0.3462599007501012,0.34201376999953936,0.24886991099992883,0.4356170459996065
150,20,0.6562657157002831,0.6626786200004062,0.5001023910008371,0.8627002210014325
200,20,1.031023492800068,1.029482963501323,0.7738701119997131,1.3315591199989285
250,20,1.518324871549794,1.5403881625006761,1.2229906889988342,1.792875338000158
300,20,2.1209627362500214,2.10680682200109,1.8072904380005639,2.441943204999916
350,20,2.870510532000208,2.923568108000836,2.3103993959994114,3.450526988001002
400,20,3.665733211550014,3.6488832390004973,3.169735892999597,4.1543982370003505
450,20,4.500355473599848,4.559288966000167,3.479443837000872,5.2882375350000075
500,20,5.289348170549874,5.329338874499626,4.294785940999645,5.881945027000256
550,20,7.293123926000135,7.291106366499662,6.503896762000295,8.11869373800073
600,20,8.506728121549713,8.565007791000426,7.146115794999787,9.800494358998549
650,20,10.058181136299755,10.009792925499823,8.334614423998573,11.443659870999909
700,20,11.402124710749922,11.562978298500639,10.216465777999474,12.606313476999276
750,20,13.033189379350096,13.166108397500466,11.552561731999958,14.421512650000295
800,20,14.628869140650114,14.708850194499973,12.901221473000987,15.989845604999573
850,20,16.33767768080015,16.55120143499971,14.679911183999138,17.695287927999743
900,20,18.291842243200335,18.185894381501384,16.590235870999095,20.387335203000475
950,20,21.0370350176001,21.23387551199903,19.03023134199975,22.61849153700132
1000,20,23.73654540840007,23.723292465000668,22.23765758299851,25.596235209999577
1050,20,25.954506815850074,26.067288503500095,24.59248640000078,27.156525080001302
1100,20,28.22846764960004,28.380390021000494,25.89598901499994,30.52626165500078
1150,20,32.43784613709986,32.36430183149969,29.596230171999196,34.964838640999005
1200,20,34.211002579800336,34.363678868499846,31.900103309999395,36.67262337000102
1250,20,37.78057382375009,37.73094726400086,35.61229994800124,40.68695379999917
1300,20,40.432886847749884,40.57175785149957,37.40632524600005,43.6739370339983
1350,20,44.68258635940028,44.028935905500475,42.06858560600085,47.59749384300085
1400,20,49.17451505045019,49.61713093399976,45.68885871400016,54.04358647399931
1450,20,52.12492144810021,51.89938213999994,48.52803302400025,56.04164185099944
1500,20,55.975386155400244,55.895293006999964,54.09606911799892,60.05660752100084
1550,20,59.69186450884981,59.59744326499913,56.86156241600111,62.84799652400034
1600,20,65.3893486117001,64.94090096899981,62.469082459001584,70.26694909100115
1650,20,69.00266434495006,68.69107269649976,66.28417717999946,74.24976975400023
1700,20,71.93056979429994,72.00282194449937,68.66935668000042,75.47293118799826
1750,20,78.19047297259976,77.92190604900043,75.47865767799885,81.51668377499846
1800,20,82.37278980270003,82.7808056085014,79.01959398899999,86.05564339699959
1850,20,87.84673215125031,87.71685438050008,85.61026316400057,90.77302081900052
1900,20,93.46839660975002,93.18390887500027,89.2546973869994,98.14217674299834
1950,20,97.27422539655008,97.61406987949977,92.43913581699962,101.44406039200112
2000,20,98.52515254024993,103.66733578799995,79.56842073799999,108.04624394500024
