# Command: ../build/unigen_static -e 0.3 -r 1.6 --samples {} benchmarks/GuidanceService.sk_4_27.cnf.gz.no_w.cnf
# Repetitions: 20
# Parallel Workers: 8
Value,Runs,Mean,Median,Min,Max
50,20,0.6819150306499069,0.6670889305005403,0.49948131799828843,0.8868292010010919
100,20,1.6747952671004895,1.6516710810010409,1.2380356940011552,2.2185960759998125
150,20,2.8896543902495977,2.68449938699996,2.3626253499969607,3.5710282330001064
200,20,4.267644922350155,4.336166717499509,3.2775246079982026,5.146623658001772
250,20,6.262356166749851,6.37458502049958,5.3195134719971975,7.061766263999743
300,20,8.032813955499659,7.966079080999407,7.529463794999174,8.908006988000125
350,20,11.042958466100572,10.868131954999626,9.749274462999892,12.50948995500221
400,20,14.369101798299743,14.381621031998293,13.164181470001495,15.24348623500191
450,20,17.285343866850233,17.218466321501182,15.374191934999544,19.828733279002336
500,20,20.619530758449947,20.453395559001365,18.450504240001464,22.53449252899736
550,20,24.171474879200286,24.281493333999606,22.061358906998066,25.838514271999884
600,20,28.26870865524943,28.276651935499103,25.763590858998214,30.446019084
650,20,32.13844700045047,32.05344496450016,30.479330797999864,34.14065447499888
700,20,37.480089208700335,37.269560785001886,35.61040320599932,40.50364288199853
750,20,43.77557268444998,43.3524577320004,40.756159190998005,46.625045767999836
800,20,50.61800249275002,50.31206865000058,48.22498610100229,53.86888839200037
850,20,56.03727071840039,56.40223628400054,52.57157924299827,61.00358119700104
900,20,65.44210859140021,65.57929249749941,61.88261025799875,70.03357393199985
950,20,73.27605943505004,73.1884493735015,67.956034103001,79.15789815099924
1000,20,74.35456447294946,79.381997708997,55.7605763069987,83.96138794500075
