# Command: ../build/unisamp_static -e 0.3 -r 1.6 --samples {} benchmarks/LoginService.sk_20_34.cnf.gz.no_w.cnf
# Repetitions: 20
# Parallel Workers: 8
Value,Runs,Mean,Median,Min,Max
50,20,18.439382669649603,18.539979335997486,14.703766229002213,20.26290974600124
100,20,33.42430265760049,33.49479566750051,29.542257396002242,36.9842976070031
150,20,48.398638161049895,48.1511488164997,45.93204205299844,52.57115377100126
200,20,61.18170776205007,60.81385934399805,56.257971063001605,64.75328743299906
250,20,72.73048248840023,72.71945993550071,67.5767424839978,77.8148347819988
300,20,85.86444822799967,86.76856494750064,79.90479189899997,90.18841407999935
350,20,99.44881896069964,99.54493868750069,94.39428437099923,102.19638101700184
400,20,111.85702120325023,112.08521233650026,105.8819855039983,117.44364293699982
450,20,123.67963790610065,123.06445452449952,117.33969141999842,131.97439023499828
500,20,139.0467664346501,139.9341893435012,130.47101332499733,145.70650890099932
550,20,153.81791082110013,153.7351813384994,149.4206479860004,159.85266850799962
600,20,164.3768120240993,163.12656326649994,158.053207146997,171.79849164799816
650,20,179.6031852160002,179.7267591740001,169.19779684600144,185.84000689000095
700,20,192.8551074260502,193.71838594199835,184.31957136200072,198.92663462300334
750,20,212.12924875990046,211.69056984750205,203.64358560700202,219.6779389689982
800,20,227.47917322659995,226.86126579200027,223.08701108900277,233.00341660400227
850,20,243.61988993954984,243.23900038400097,235.3570243050017,251.0387966649978
900,20,262.25371121920034,262.25544160749996,255.52913713100133,271.16973865600085
950,20,279.64825849919964,280.9758514624991,269.10165364299974,286.0098909619992
1000,20,278.7318614254506,299.2405778000011,210.97147250000125,310.072586125003
