Input_File,Run_ID,e,r,sampleout,samples,Outcome,Sampling_Case,Success_Prob,Solutions_Found,ApproxMC_Time,Sampling_Time,Avg_Sample_Time,CPU_Time,Wall_Time,Space_MB,Result_Code,Directory_Ref
01A-1.cnf.gz.no_w.cnf,1,0.3,1.1,sampleout,100,Success,Ideal,0.0000,0,0.3000,0.0100,N/A,0.31,0.54,6.0,0,01A-1.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run1
01A-1.cnf.gz.no_w.cnf,2,0.3,1.2,sampleout,100,Success,Non-Ideal,0.0000,0,0.2400,4.8200,N/A,5.11,7.09,8.0,0,01A-1.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run2
01A-1.cnf.gz.no_w.cnf,3,0.3,1.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.2100,4.6200,N/A,4.84,6.29,8.0,0,01A-1.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run3
01A-1.cnf.gz.no_w.cnf,4,0.3,1.4,sampleout,100,Success,Non-Ideal,0.0000,0,0.2100,4.5100,N/A,4.76,6.35,8.0,0,01A-1.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run4
01A-1.cnf.gz.no_w.cnf,5,0.3,1.5,sampleout,100,Success,Non-Ideal,0.0000,0,0.1800,6.0700,N/A,6.29,8.09,8.0,0,01A-1.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run5
01A-1.cnf.gz.no_w.cnf,6,0.3,1.6,sampleout,100,Success,Non-Ideal,0.0000,0,0.1800,4.1600,N/A,4.32,5.3,8.0,0,01A-1.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run6
01B-1.cnf.gz.no_w.cnf,7,0.3,1.1,sampleout,100,Success,Non-Ideal,0.0000,0,20.4600,516.7800,N/A,538.03,916.95,40.0,0,01B-1.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run7
01B-1.cnf.gz.no_w.cnf,8,0.3,1.2,sampleout,100,Success,Non-Ideal,0.0000,0,17.1400,190.0500,N/A,207.62,356.16,30.0,0,01B-1.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run8
01B-1.cnf.gz.no_w.cnf,9,0.3,1.3,sampleout,100,Success,Non-Ideal,0.0000,0,10.6200,70.6500,N/A,81.45,108.88,29.0,0,01B-1.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run9
01B-1.cnf.gz.no_w.cnf,10,0.3,1.4,sampleout,100,Success,Non-Ideal,0.0000,0,10.7000,73.6600,N/A,84.58,111.36,31.0,0,01B-1.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run10
