Input_File,Run_ID,e,sampleout,samples,Outcome,Sampling_Case,Success_Prob,Solutions_Found,ApproxMC_Time,Sampling_Time,Avg_Sample_Time,CPU_Time,Wall_Time,Space_MB,Result_Code,Directory_Ref
01A-1.cnf.gz.no_w.cnf,1,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0800,0.0100,N/A,0.07,0.18,6.0,0,01A-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run1
01B-1.cnf.gz.no_w.cnf,2,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,5.4700,294.1300,N/A,299.96,386.6,40.0,0,01B-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run2
01B-2.cnf.gz.no_w.cnf,3,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,13.9400,1328.1100,N/A,1342.88,1631.16,59.0,0,01B-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run3
01B-3.cnf.gz.no_w.cnf,4,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,114.0000,,N/A,3080.86,3901.24,55.0,2,01B-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run4
01B-4.cnf.gz.no_w.cnf,5,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,227.0000,,N/A,3223.2,3901.25,56.0,2,01B-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run5
01B-5.cnf.gz.no_w.cnf,6,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,575.5600,,N/A,3100.7,3901.26,65.0,2,01B-5.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run6
02A-1.cnf.gz.no_w.cnf,7,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0400,0.0100,N/A,0.0,0.08,0.0,0,02A-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run7
02A-2.cnf.gz.no_w.cnf,8,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0100,,N/A,0.0,0.03,0.0,0,02A-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run8
02A-3.cnf.gz.no_w.cnf,9,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,02A-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run9
02B-1.cnf.gz.no_w.cnf,10,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,4.5700,389.1200,N/A,394.16,508.7,42.0,0,02B-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run10
02B-2.cnf.gz.no_w.cnf,11,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,11.1800,684.6500,N/A,696.99,915.85,46.0,0,02B-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run11
02B-3.cnf.gz.no_w.cnf,12,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,19.8000,1109.2600,N/A,1129.92,1433.94,55.0,0,02B-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run12
