# Command: ../build/unigen_static -e 0.3 -r 1.5 --samples {} benchmarks/dummy.cnf
# Repetitions: 20
# Parallel Workers: 8
Value,Runs,Mean,Median,Min,Max
50,20,0.19812461535038892,0.19739975149786915,0.11434246499993606,0.2629938680038322
100,20,0.6147362037008861,0.6026200004998827,0.4749858420036617,0.8153089390034438
150,20,1.173569794949799,1.1896827595010109,0.8654506640014006,1.4328469239990227
200,20,2.0874203019997366,2.129191775999061,1.6736230829992564,2.536091601999942
250,20,2.3610324468991166,2.283522901496326,1.857974287995603,3.1120977429964114
300,20,2.967784216001019,2.79421014950276,2.0905075359987677,4.168033644004026
350,20,3.1112766653008292,2.8382077804999426,2.159797801003151,4.559459747004439
400,20,3.8709270473489594,3.3003428424999584,2.69421638300264,7.587666559993522
450,20,3.513091299249936,3.3831797989987535,2.9426095809976687,4.733804800001963
500,20,3.7595811731505817,3.624823436497536,3.247428155998932,5.813434874005907
550,20,4.142680071549694,3.9552320664988656,3.0352858859987464,5.930228726007044
600,20,4.581654218649419,4.431818684497557,3.225086159000057,7.593438727002649
650,20,5.24451896060018,4.999439363502461,4.0086204030012595,8.451943008003582
700,20,5.984045876950404,5.528140140999312,4.887934817001224,9.436682614999881
750,20,6.751204882450111,6.431627850499353,4.81199364400527,10.746660330005398
800,20,6.745499536599527,6.533651102996373,4.998795280000195,8.674778162996517
850,20,6.967247850550484,6.102198915999907,5.68271657799778,10.418141957001353
900,20,7.629468470400388,7.550873972999398,5.4015357899988885,9.9358308209994
950,20,7.694575846099542,7.530817659499007,6.224259312002687,9.26420285399945
1000,20,7.9413684091498,7.922676278998551,6.75315649699769,9.417264415998943
1050,20,8.421385498401651,8.490059038002073,6.756827789002273,10.018037109999568
1100,20,8.90133861580107,8.710225560502295,7.577672512998106,10.959723074003705
1150,20,9.45716994569957,9.208472268499463,8.104255878999538,11.397096361004515
1200,20,9.965899533799893,10.260363144996518,7.929381520996685,11.634784866997506
1250,20,9.936174971748551,10.161260840999603,8.169780140997318,12.16739862299437
1300,20,10.199465081251038,10.117143242503516,8.431909391998488,11.97600062499987
1350,20,10.359430264150433,10.04349848900165,8.50136986200232,12.215440366999246
1400,20,11.150143330399441,10.969471348002116,8.795330945002206,13.606061434002186
1450,20,11.772033379249478,11.002517535496736,8.927220236997528,18.02608619000239
1500,20,11.324785303200041,11.350908242002333,9.63229649799905,12.873873056996672
1550,20,11.96237552950006,11.039959635498235,9.46653897199576,19.94182320500113
1600,20,12.08416619370073,12.309426273997815,9.3376470660005,14.134801633997995
1650,20,12.835742962798758,12.996845891499106,11.115380871000525,15.84643400299683
1700,20,13.485980629600453,13.313905818999046,11.743886547999864,15.674638300995866
