# Command: ../build/unigen_static -e 0.3 -r 1.5 --samples {} benchmarks/dummy.cnf
# Repetitions: 20
# Parallel Workers: 8
Value,Runs,Mean,Median,Min,Max
50,20,0.15262811229877116,0.14501154849858722,0.08368484599486692,0.2502848250005627
100,20,0.4254981092992239,0.40069128849791014,0.20913545299845282,0.7787292860011803
150,20,0.7369783486505185,0.7139235039976484,0.3389624800038291,1.0472388780035544
200,20,0.9744202781002969,0.958777513998939,0.4630486899986863,1.3182179150026059
250,20,1.21559007044998,1.1542447300016647,0.6474530409977888,2.001338014000794
300,20,1.747967976200016,1.5702998365013627,1.0239359009938198,4.252026100999501
350,20,1.8000601365503826,1.7470083795014943,1.2508126929969876,2.8413194389941054
400,20,2.1077252172013687,2.1026780670035805,1.4068780969973886,2.8164915420056786
450,20,2.516676192950763,2.407620420501189,1.8766174650008907,4.136034991999622
500,20,2.5394500218488245,2.530846946498059,1.9356363350016181,3.435265169995546
550,20,2.877071867249833,2.7598369984989404,1.8096360900017316,4.06282145500154
600,20,3.0191320090987572,3.0625516545005667,2.152347491995897,4.2560035699934815
650,20,3.4269322289495903,3.3482131925011345,2.6159108670035494,4.625516959000379
700,20,3.52051843645022,3.5407916365002166,2.405067058003624,4.57209475000127
750,20,3.866066964049969,3.8674463575007394,2.972406293003587,5.118460199002584
800,20,4.274716895149686,4.146234400999674,3.5374306039957446,5.585415148998436
850,20,4.332144141500612,4.35760942649722,3.1229885630018543,5.328467576000548
900,20,4.690721451598438,4.74326840199501,3.3422377230017446,5.843304276000708
950,20,5.034240954949928,5.037803017003171,3.905729102996702,5.764756586002477
1000,20,5.407829263201711,5.162388340500911,4.595450823006104,7.625303225999232
1050,20,5.416554549200373,5.311645926503843,4.4715759419996175,6.660679429995071
1100,20,5.915591609149123,5.728105950001918,4.436111096998502,8.057938330995967
1150,20,6.176292391049719,6.121657486499316,5.091944282998156,7.837050801994337
1200,20,6.279869295399839,6.126977811498364,3.976249583000026,9.507396914996207
1250,20,6.757428766149315,6.839073581999401,5.355923656999948,8.24712854000245
